Success Rate,Infraction Count (Pedestrian Collisions),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m),Time taken (s),GFLOPS
0,2,940.1659958363782,77.7687010916334,5.44168651454275,166.3831286430359,0.028125
0,0,1060.7996026739922,77.7687010916334,6.215788847889539,174.5963191986084,0.028125
0,0,3727.4896680871393,8.393566889594311,5.586727929863921,174.6056354045868,0.028125
0,5,886.7236850089835,77.7687010916334,5.395045048554362,182.06198811531067,0.028125
0,2,910.4320138699173,77.7687010916334,5.472145806051396,188.33596205711365,0.028125
0,1,2765.1155139339453,77.7687010916334,5.898795195106296,193.93833017349243,0.028125
0,0,886.1531055871861,3.7385687123020133,5.285912863620837,199.3812961578369,0.028125
0,1,3188.0055591924383,3.7385687123020133,5.761633125071839,199.53049683570862,0.028125
0,3,868.3451573367497,77.7687010916334,5.566578620200101,210.07240271568298,0.028125
0,3,938.3095508900606,77.7687010916334,5.340345180456836,214.7201759815216,0.028125
