Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m)
0,0,4.0273308753967285,15.663979762255632,76.22084864372698,7.13295063535129
0,0,4.16093111038208,16.008727388517737,76.22084864372698,7.13292883358474
0,0,3.9445114135742188,16.00369793657221,76.22084864372698,7.132942978190844
0,0,4.03531551361084,16.008751045135085,76.22084864372698,7.132925571309151
0,0,4.055213928222656,16.004183441460512,76.22084864372698,7.132937106058304
0,0,4.176127910614014,16.008383431395316,76.22084864372698,7.132952974476793
0,0,4.038975238800049,16.009399255146292,76.22084864372698,7.13292254257667
0,0,4.015955924987793,16.008729876541228,76.22084864372698,7.1329214100216465
0,0,4.0492963790893555,16.00821418884958,76.22084864372698,7.1329660236462935
0,0,4.0441179275512695,16.006195617506847,76.22084864372698,7.1329333636827545
0,0,3.9949846267700195,16.011702451847302,76.22084864372698,7.133130175439512
0,0,4.125237464904785,16.00895768379597,76.22084864372698,7.132921004126176
0,0,3.8701272010803223,16.008783746169737,76.22084864372698,7.132917089400557
0,0,3.9046692848205566,16.00568063593584,76.22084864372698,7.132893452622711
0,0,4.093563556671143,16.008760039453485,76.22084864372698,7.132922579598913
0,0,4.214203357696533,16.00698952893171,76.22084864372698,7.132931406309261
0,0,3.9136481285095215,16.01112368883548,76.22084864372698,7.132931406309261
0,0,4.263124465942383,16.008761617127522,76.22084864372698,7.132921004126176
0,0,3.9844346046447754,16.008749104229768,76.22084864372698,7.13292883358474
0,0,3.842482566833496,16.00872883285622,76.22084864372698,7.132936663053069
