Success Rate,Infraction Count (Pedestrian Collisions),Energy Consumption (J),Total Latency (s),Route Completion (%),Avg. Route Deviation (m),Time taken (s)
1,3,1214.4000000000005,184.33921185037795,100.0,0.044486693923144645,251.13941264152527
1,12,2224.200000000056,336.8505166113333,100.0,0.10229546573037424,448.81818199157715
1,6,1648.3500000000245,249.14936814293426,100.0,0.07263569727825726,330.59333395957947
1,10,1805.100000000033,279.2168458998264,100.0,0.07281363079173765,353.7484724521637
1,20,1580.7000000000207,242.6864445773442,100.0,0.08330687615747188,313.7832541465759
1,10,2197.8000000000548,329.9806139550592,100.0,0.06265533964752044,428.3273561000824
1,6,1364.5500000000088,211.4122473101182,100.0,0.10700391452360901,270.932501077652
0,8,2475.00000000007,375.2728933754034,76.22084864372698,8.912452543856705,482.9055013656616
1,10,2248.9500000000576,338.2252703318779,100.0,0.06356745493173523,442.4911313056946
1,5,1179.7499999999986,181.13428474157402,100.0,0.03997064738289994,232.81130695343018
