Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m)
1,35,0.0,27.354178723666838,100.0,0.09673849135320385
1,38,0.0,27.825791001508268,100.0,0.09897420624171475
1,32,0.0,27.28062382508575,100.0,0.08666418964946666
1,23,0.0,28.184690989477687,100.0,0.09570438418260205
1,23,0.0,46.413441944748854,100.0,0.054598402636913526
1,17,0.0,27.225540133459187,100.0,0.057890526059472924
1,19,0.0,27.388178869794277,100.0,0.07695845353221666
1,39,0.0,27.77687669495802,100.0,0.08938031298374002
1,26,0.0,27.209294409859655,100.0,0.08156791015423742
1,59,0.0,27.491561216750977,100.0,0.09652647364668696
1,29,0.0,27.93900151462693,100.0,0.06929886023970336
1,20,0.0,28.014889761614754,100.0,0.06020375158443777
1,20,0.0,31.18954302169488,100.0,0.08845233991268987
1,17,0.0,27.588264187126402,100.0,0.08051329493570468
1,29,0.0,27.23723736935613,100.0,0.07537988266023785
1,61,0.0,28.77233675261781,100.0,0.05140136893834041
1,13,0.0,27.438775952838714,100.0,0.07719209993518633
1,28,0.0,35.449909956386875,100.0,0.07210732998631493
1,48,0.0,27.58252891969547,100.0,0.050008709204501206
1,38,0.0,27.228320661475024,100.0,0.10506124550958876
