Success Rate,Infraction Count (Pedestrian Collisions),Energy Consumption (J),Total Latency (s),Route Completion (%),Avg. Route Deviation (m),Time taken (s),Number of steps taken by local model,Number of steps taken by global model
0,2,225.00000000000566,0,76.22084864372698,0.4719827073434506,412.257910490036,1500,0
0,3,225.00000000000566,0,76.22084864372698,0.47223234778759154,396.469114780426,1500,0
0,3,225.00000000000566,0,76.22084864372698,0.5696927375181681,398.27092027664185,1500,0
0,3,225.00000000000566,0,76.22084864372698,0.4927117192666712,404.16701459884644,1500,0
0,5,225.00000000000566,0,76.22084864372698,0.4804466935651727,422.2736372947693,1500,0
0,3,225.00000000000566,0,76.22084864372698,0.47489238235443754,406.09042024612427,1500,0
0,3,225.00000000000566,0,76.22084864372698,0.4886738363344566,418.3753287792206,1500,0
0,3,225.00000000000566,0,76.22084864372698,0.47084351949083797,405.68286752700806,1500,0
0,3,225.00000000000566,0,76.22084864372698,0.4824833811957689,414.1677632331848,1500,0
0,5,225.00000000000566,0,76.22084864372698,0.5919844754440344,464.6112427711487,1500,0
