Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m),Time taken (s)
0,0,3436.0160040855408,4091.4884003410248,76.22084864372698,5.9556349697548585,343.81761837005615
0,0,3314.2800664901733,3050.750011437457,76.22084864372698,5.409944766645652,331.6491024494171
0,0,3294.3650317192078,3279.698017442146,76.22084864372698,5.450577322520684,329.6272385120392
0,0,3337.6119565963745,3145.902822364101,76.22084864372698,5.388763574399828,333.9576621055603
0,0,3346.661353111267,3070.3744460306443,76.22084864372698,5.399908337518881,334.86368060112
0,0,3153.988256454468,2869.4395961305613,76.22084864372698,5.306032892677861,315.60498046875
0,0,2094.366273880005,4046.776892423688,76.22084864372698,5.95486722368756,209.66574335098267
0,0,1903.2044458389282,3252.739748220723,76.22084864372698,5.44149968201787,190.5561740398407
0,0,1919.9117612838745,3046.5312667156945,76.22084864372698,5.376792972919854,192.2132215499878
0,0,1919.2813801765442,3182.3994489972697,76.22084864372698,5.46955494581064,192.14290022850037
0,0,2030.1885056495667,4022.1596954308925,76.22084864372698,5.956138485644076,203.23969960212708
0,0,1930.8684611320496,3221.344496435082,76.22084864372698,5.388425416276197,193.3148078918457
0,0,2022.8823041915894,3989.2342012313397,76.22084864372698,5.954694169693922,202.51023769378662
