Success Rate,Infraction Count (Pedestrian Collisions),Energy Consumption (J),Total Latency (s),Route Completion (%),Avg. Route Deviation (m),Time taken (s),Number of steps taken by local model,Number of steps taken by global model
0,8,225.00000000000566,0,76.90528946954508,18.113885615283333,452.3186933994293,1500,0
0,6,225.00000000000566,0,76.90528946954508,18.65862256317578,403.94805240631104,1500,0
1,11,91.65000000000062,0,100.0,0.29221691670777084,161.6898980140686,611,0
0,16,225.00000000000566,0,76.90528946954508,15.057873683725038,418.4076499938965,1500,0
0,11,225.00000000000566,0,76.90528946954508,16.750789871316314,438.85784697532654,1500,0
