Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m)
1,8,0.0,35.37488098508145,100.0,0.12008184081190672
1,48,0.0,33.114096229823694,100.0,0.05347232092510637
1,19,0.0,73.8687770977177,100.0,0.07014389466493295
1,23,0.0,27.26787790730976,100.0,0.06167766424589497
1,28,0.0,27.30157703553373,100.0,0.05368215496844061
1,30,0.0,27.72659858973559,100.0,0.0616812424952539
1,61,0.0,27.349989221140216,100.0,0.11980441321022346
0,11,0.0,17.332145641879812,76.22084864372698,5.955194983607099
1,58,0.0,35.57537371685956,100.0,0.06018407593876589
1,40,0.0,26.990297240256982,100.0,0.10988269776823131
1,39,0.0,28.080388571710788,100.0,0.08874241735245873
1,30,0.0,27.009830772630757,100.0,0.11361776107516368
1,34,0.0,27.762755593653374,100.0,0.09696085333939737
1,7,0.0,37.41001251962277,100.0,0.05124061621167593
1,47,0.0,27.19752631206567,100.0,0.08646035313362675
1,32,0.0,35.355007809618904,100.0,0.11902318399184393
1,24,0.0,27.40338977456624,100.0,0.11356351890538183
1,7,0.0,66.61980919334042,100.0,0.06775129892742103
1,27,0.0,28.73568311713379,100.0,0.09955907121226577
1,29,0.0,27.405946975576327,100.0,0.061607588370466954
