Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (%)
0,0,0.8282017707824707,16.956746268127617,77.7687010916334,7.133427057822191
0,21,0.8389544486999512,15.107968894073327,77.7687010916334,7.133194395248079
0,21,0.7727622985839844,15.137076389712073,77.7687010916334,7.13322079848388
0,19,0.9188103675842285,15.016361984148544,77.7687010916334,7.133060054269729
0,21,0.8101558685302734,15.049937322149644,77.7687010916334,7.133097453115388
0,19,0.8840537071228027,15.046501832623239,77.7687010916334,7.133135024658769
0,22,0.7929086685180664,15.102185314219986,77.7687010916334,7.133120019037711
0,19,0.8210206031799316,15.068351334187312,77.7687010916334,7.133149205229106
0,22,0.80596923828125,15.119113868482987,77.7687010916334,7.133131455519119
0,22,0.8160948753356934,15.110291617849098,77.7687010916334,7.1331275609020315
0,16,0.8167862892150879,14.980585511532754,77.7687010916334,7.133197580056546
0,19,0.8188366889953613,15.07003357754478,77.7687010916334,7.133285886974823
0,20,0.7997441291809082,15.160071534192054,77.7687010916334,7.133066732853039
0,19,0.9056210517883301,15.067865800372797,77.7687010916334,7.133229068599998
0,15,0.8737611770629883,15.040860479922015,77.7687010916334,7.133245131043581
0,21,0.8535575866699219,15.092760493469138,77.7687010916334,7.133248315540606
0,20,0.7800173759460449,15.04740883204759,77.7687010916334,7.133192552438472
0,22,0.8135414123535156,15.213448307192918,77.7687010916334,7.133090449209023
0,16,0.8482050895690918,15.077462033575681,77.7687010916334,7.133331710289753
0,13,0.8014559745788574,15.052477896933844,77.7687010916334,7.1330093194731745
