Success Rate,Infraction Count (Pedestrian Collisions),Energy Consumption (J),Total Latency (s),Route Completion (%),Avg. Route Deviation (m),Time taken (s),Number of steps taken by local model,Number of steps taken by global model
0,0,2250.0,146.34673100448072,75.23118559676179,1.9782516061380495,393.70963764190674,0,1500
0,11,2250.0,147.42575513172835,75.23118559676179,0.5609323579640698,476.197970867157,0,1500
0,0,2250.0,149.7564353659217,75.23118559676179,1.5255595612524315,498.5178978443146,0,1500
0,0,2250.0,155.00736692521755,75.23118559676179,1.750779482849889,504.51330852508545,0,1500
0,0,2250.0,144.7159982685369,75.23118559676179,1.7416692172826327,509.8010287284851,0,1500
0,0,2250.0,150.43308604787157,75.23118559676179,1.7813902332601412,559.0108458995819,0,1500
0,0,2250.0,150.38776041748181,75.23118559676179,0.6249734707861823,563.3374965190887,0,1500
0,0,2250.0,152.79044717209445,75.23118559676179,0.6573488425549577,545.81822514534,0,1500
0,1,2250.0,149.50292068088694,75.23118559676179,0.9140774967355451,569.3158686161041,0,1500
0,0,2250.0,148.5661432930377,75.23118559676179,0.8735192849864782,607.9515149593353,0,1500
