Success Rate,Infraction Count (Pedestrian Collisions),Energy Consumption (J),Total Latency (s),Route Completion (%),Avg. Route Deviation (m),Time taken (s),Number of steps taken by local model,Number of steps taken by global model
1,3,339.7499999999956,15.10517534706567,100.0,0.2405947420640259,223.77561450004578,747,138
1,18,142.35000000000105,2.7039052507507075,100.0,0.22349423444629377,168.9301679134369,641,28
1,10,144.300000000001,2.7408585730736457,100.0,0.16735556971725238,170.4004681110382,632,30
1,8,252.00000000000355,8.683924407587035,100.0,0.22003108542341498,201.8280065059662,690,90
1,10,134.7000000000008,2.359287084799049,100.0,0.16823779686755538,159.53601670265198,601,27
1,17,147.90000000000126,2.764045645406824,100.0,0.1891711092373102,180.97607684135437,678,28
1,20,235.5000000000039,4.1688311118048045,100.0,0.25119199235595674,300.46418929100037,1130,40
0,5,670.499999999988,29.015116314822905,76.22084864372698,20.733608671856572,376.962495803833,1203,297
1,10,303.90000000000185,10.100264796769027,100.0,0.33588635219442414,247.62872862815857,860,106
1,12,292.9500000000029,10.349314701534963,100.0,0.3070335294759512,220.95066213607788,776,107
