Success Rate,Infraction Count (Pedestrian Collisions),Number of FLOPS (GFLOPS),Total Latency (s),Route Completion (%),Avg. Route Deviation (m),Time taken (s)
1,7,0,0.17143917083740234,100.0,0.10356414481312273,139.49284625053406
1,5,0,0.16948318481445312,100.0,0.055825477732390445,138.52492260932922
1,62,0,0.13113713264465332,100.0,0.06661896306811164,119.19270420074463
1,39,0,0.12791728973388672,100.0,0.07257097779655243,115.39846658706665
1,37,0,0.1332988739013672,100.0,0.011491419452279633,112.57979583740234
0,34,0,0.1814894676208496,80.89710970004361,1.3184416445918798,150.6246795654297
1,35,0,0.1269986629486084,100.0,0.0848082062975104,114.45697021484375
1,39,0,0.1383800506591797,100.0,0.09048976049322731,125.00029015541077
1,23,0,0.14139294624328613,100.0,0.08700278460535305,125.41559314727783
1,28,0,0.14017701148986816,100.0,0.10053062777772806,122.74855995178223
1,12,0,0.13605237007141113,100.0,0.10252374772123395,109.3844895362854
0,0,0,0.17417120933532715,80.89710970004361,0.26036731913034417,155.55684995651245
1,31,0,0.14179682731628418,100.0,0.06459635848106263,122.59878039360046
1,44,0,0.12758398056030273,100.0,0.05817051122677166,114.24323439598083
1,25,0,0.14456629753112793,100.0,0.047223541326973206,124.8686273097992
0,61,0,0.1738741397857666,80.89710970004361,0.3906639685276207,153.20404958724976
1,22,0,0.15950679779052734,100.0,0.0313285368381745,141.8490161895752
1,16,0,0.13770794868469238,100.0,0.07616611894632529,119.65780520439148
0,7,0,0.1717815399169922,80.89710970004361,0.06536004402587073,152.16881132125854
1,19,0,0.16591429710388184,100.0,0.08669893477551666,131.75253295898438
