Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m)
0,0,0.8517885208129883,15.080878186324972,76.22084864372698,7.133413971125402
0,0,0.8659076690673828,14.928032818333419,76.22084864372698,7.133096839053788
0,0,0.8151578903198242,14.883302940893014,76.22084864372698,7.133086362011655
0,0,0.8189678192138672,14.884829906222649,76.22084864372698,7.133141798257202
0,0,0.7881283760070801,14.83454641341434,76.22084864372698,7.133287921658762
0,0,0.7643651962280273,14.849879372167798,76.22084864372698,7.133267062613926
0,0,0.8818459510803223,14.866078093799935,76.22084864372698,7.13330862582176
0,0,0.8293843269348145,14.917612425547492,76.22084864372698,7.133210359922892
0,0,0.7802820205688477,14.83509244754373,76.22084864372698,7.133194068324428
0,0,0.7587742805480957,14.829258510097574,76.22084864372698,7.133298398922504
0,0,0.7613992691040039,14.894694473783316,76.22084864372698,7.133222871721528
0,0,0.8674716949462891,14.866057814032885,76.22084864372698,7.133117754763881
0,0,0.7893633842468262,14.819579628669182,76.22084864372698,7.133019720087044
0,0,0.8817386627197266,14.857051957333569,76.22084864372698,7.133272800160568
0,0,0.879056453704834,14.846327145175898,76.22084864372698,7.133126620010379
0,0,0.7400083541870117,14.894132316004168,76.22084864372698,7.133116949328662
0,0,0.735166072845459,14.89778274980537,76.22084864372698,7.133254476345648
0,0,0.7329106330871582,14.842427994562701,76.22084864372698,7.133171751991165
0,0,0.7352542877197266,14.863998099032166,76.22084864372698,7.133144503885251
0,0,0.7877922058105469,14.882405719597209,76.22084864372698,7.133278460512932
