Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m),Time taken (s)
0,1,4089.9472737312317,1107.6864445341653,75.23118559676179,5.357032267762989,409.22319531440735
0,2,4093.2933354377747,1377.780455570679,75.23118559676179,4.913308967971562,409.5634684562683
0,2,3885.005135536194,1070.8366450674719,75.23118559676179,4.891232195267369,388.7334997653961
0,2,4085.233955383301,1080.573290830674,75.23118559676179,3.860689837177318,408.7566976547241
0,1,4075.881061553955,1141.970219765289,75.23118559676179,4.900186859941336,407.8230619430542
0,1,3909.576621055603,1776.7899623565095,75.23118559676179,4.978288065031899,391.1893994808197
0,3,3975.1901531219482,992.8853195410446,75.23118559676179,4.896002497761698,397.7403178215027
0,1,4176.1607456207275,1041.9492696747645,75.23118559676179,3.9320346817259333,417.84717893600464
0,0,3889.1444540023804,1142.4477112388454,75.23118559676179,5.176779668064628,389.1437647342682
0,0,3865.6350922584534,1111.4647712817023,75.23118559676179,4.321339152547232,386.79298853874207
0,0,3934.09024477005,1728.8229434625669,75.23118559676179,5.41074532986557,393.6218831539154
0,2,3958.623173236847,1462.958556452146,75.23118559676179,4.918607302387237,396.0945534706116
0,0,3883.025975227356,1110.199456116406,75.23118559676179,5.181799384678549,388.53515672683716
0,0,3893.1631088256836,1098.614492816714,75.23118559676179,6.580435171287768,389.5307946205139
0,0,3948.5343527793884,1117.5954568460158,75.23118559676179,4.901345262776333,395.06053709983826
0,0,3968.246283531189,1198.5236638498668,75.23118559676179,4.914975983923407,397.0304741859436
0,1,4146.234464645386,1270.1501848831429,75.23118559676179,4.901106136800268,414.82909750938416
0,0,3910.9578680992126,1128.20930352837,75.23118559676179,4.44501733590794,391.3142738342285
0,0,3923.69921207428,1714.0755863298969,75.23118559676179,4.951785802065542,392.5872039794922
0,1,4122.2199630737305,1135.4789109261324,75.23118559676179,5.418401226732413,412.4401273727417
