Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m)
0,26,3.2891154289245605,47.87512528522998,76.22084864372698,23.147073080805413
0,31,3.7733006477355957,33.59931949903058,76.22084864372698,8.54173040463314
0,34,3.759338855743408,32.37067878138851,76.22084864372698,7.183524435687731
0,44,3.338024616241455,36.70504388489887,76.22084864372698,10.37875267207524
0,31,3.514537811279297,36.698312185768835,76.22084864372698,10.379857225389374
0,37,3.5149145126342773,36.313289117088814,76.22084864372698,10.383534699136824
0,48,3.5164570808410645,36.240122659331064,76.22084864372698,9.221959927609158
0,63,3.3159327507019043,36.94145218285877,76.22084864372698,10.389333731845655
0,60,3.2677674293518066,47.530467235557104,76.22084864372698,21.486489257647726
0,42,3.390827178955078,34.49149362821694,76.22084864372698,8.16653297206492
0,14,3.398430347442627,37.57740813212494,76.22084864372698,10.375627631629408
0,39,3.5027599334716797,36.710227811563044,76.22084864372698,10.374481718399972
0,30,3.5172080993652344,33.20249172430482,76.22084864372698,7.677459940776623
0,43,3.62654447555542,33.8613537601815,76.22084864372698,8.14494699433308
0,40,3.508577346801758,20.115204360878742,76.22084864372698,5.954864158351486
0,41,3.4914636611938477,35.8960492090387,76.22084864372698,9.233109459715443
0,34,3.349475860595703,32.68860902250886,76.22084864372698,7.806858974098789
0,34,3.3034443855285645,34.991475497895394,76.22084864372698,9.744070612704558
0,36,3.3548617362976074,34.23495059753668,76.22084864372698,8.538647218877385
0,43,3.5048270225524902,33.78036185619901,76.22084864372698,7.855983034389287
