Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (%)
1,14,1.088266372680664,27.29096084688635,100.0,0.07073377264872294
1,28,1.1370849609375,27.2391239508292,100.0,0.06550860494300495
1,14,1.1186599731445312,27.231366300125583,100.0,0.07806994972135599
1,14,1.1866331100463867,27.598820053341303,100.0,0.09116434082097133
0,9,3.3806848526000977,18.56477123092216,76.90528946954508,5.95512699756862
1,16,1.1171698570251465,27.405935760323697,100.0,0.09706326458184233
1,17,1.060481071472168,27.692146067885197,100.0,0.07863283183951233
1,18,1.1119794845581055,27.941423223411757,100.0,0.08711367586890614
1,30,2.0336461067199707,30.85907199964543,100.0,0.12399425944302726
1,16,1.2199068069458008,27.74023449051282,100.0,0.07702315417420492
1,14,1.0976409912109375,27.22919122193559,100.0,0.07924229873922127
1,16,1.16011381149292,27.71827293170667,100.0,0.08009233232766799
1,14,1.0847854614257812,27.233227705540834,100.0,0.06985564334823664
1,14,1.0707402229309082,27.231474374689995,100.0,0.07475620597954918
1,16,1.1659812927246094,28.017506666952766,100.0,0.06653145752251498
1,28,1.805863380432129,61.3087127735734,100.0,0.09988132268587381
1,14,1.1270427703857422,27.2366404943568,100.0,0.06621871839511655
1,14,1.0929203033447266,27.231596734632234,100.0,0.07889061020903969
1,29,1.1564183235168457,27.281266795679326,100.0,0.10483410846721801
1,14,1.0906386375427246,27.228606666710277,100.0,0.07219888230968288
